"win_chance","craver","betting_rate","se","kappa_1","kappa_2"
0.2,1,0.127083333333333,0.00277564887244713,0.9,0.7
0.8,0,0.784583333333333,0.00209796980154188,0.9,0.7
0.8,1,0.824166666666667,0.00158617337486868,0.9,0.7
0.2,0,0,0,1,0.5
0.2,1,0.186597222222222,0.00324667821482164,1,0.5
0.8,0,0.783307291666667,0.00210246258660124,1,0.5
0.8,1,0.857760416666667,0.00145541137326525,1,0.5
0.2,0,0,0,1,0.55
0.2,1,0.175625,0.00317095011063548,1,0.55
0.8,0,0.783828125,0.00210063239557514,1,0.55
0.8,1,0.851215277777778,0.00148283013141184,1,0.55
0.2,0,0,0,1,0.6
0.2,1,0.160277777777778,0.0030573018108606,1,0.6
0.8,0,0.782265625,0.00210610813465631,1,0.6
0.8,1,0.843888888888889,0.00151234916200776,1,0.6
0.2,0,0,0,1,0.65
0.2,1,0.14875,0.00296545189788634,1,0.65
0.8,0,0.784427083333333,0.00209852154094028,1,0.65
0.8,1,0.835243055555556,0.0015456844202876,1,0.65
0.2,0,0,0,1,0.7
0.2,1,0.132361111111111,0.00282412256586018,1,0.7
0.8,0,0.783697916666667,0.00210109040800282,1,0.7
0.8,1,0.828107638888889,0.00157204224380646,1,0.7
