"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda","n"
0.2,1,0.101180555555556,0.00251315105800778,0.8,40,0.1,1.95,4
0.8,0,0.794244791666667,0.00206296874987126,0.8,40,0.1,1.95,4
0.8,1,0.816354166666667,0.001613326898534,0.8,40,0.1,1.95,4
0.2,0,0,0,0.8,40,0.2,1.95,0
0.2,1,0.192361111111111,0.00328474064133738,0.8,40,0.2,1.95,0
0.8,0,0.795520833333333,0.00205821317952779,0.8,40,0.2,1.95,0
0.8,1,0.836440972222222,0.0015411589669719,0.8,40,0.2,1.95,0
0.2,0,0,0,0.8,40,0.2,1.95,1
0.2,1,0.201458333333333,0.00334252945810034,0.8,40,0.2,1.95,1
0.8,0,0.79390625,0.00206422514490649,0.8,40,0.2,1.95,1
0.8,1,0.836475694444444,0.00154102735513069,0.8,40,0.2,1.95,1
0.2,0,0,0,0.8,40,0.2,1.95,3
0.2,1,0.200416666666667,0.00333605051360136,0.8,40,0.2,1.95,3
0.8,0,0.794296875,0.00206277526197904,0.8,40,0.2,1.95,3
0.8,1,0.834322916666667,0.00154914059524008,0.8,40,0.2,1.95,3
0.2,0,0,0,0.8,40,0.2,1.95,4
0.2,1,0.199305555555556,0.00332910079192575,0.8,40,0.2,1.95,4
0.8,0,0.794244791666667,0.00206296874987126,0.8,40,0.2,1.95,4
0.8,1,0.835746527777778,0.00154378600025714,0.8,40,0.2,1.95,4
0.2,0,0,0,0.8,50,0.05,1.95,0
0.2,1,0.0502083333333333,0.0018198513457328,0.8,50,0.05,1.95,0
0.8,0,0.808515625,0.00200794088245484,0.8,50,0.05,1.95,0
0.8,1,0.818177083333333,0.00160709109184493,0.8,50,0.05,1.95,0
0.2,0,0,0,0.8,50,0.05,1.95,1
0.2,1,0.049375,0.00180547718228558,0.8,50,0.05,1.95,1
0.8,0,0.808125,0.00200950231241666,0.8,50,0.05,1.95,1
0.8,1,0.814270833333333,0.00162038055452343,0.8,50,0.05,1.95,1
0.2,0,0,0,0.8,50,0.05,1.95,3
0.2,1,0.0509722222222222,0.00183290552445299,0.8,50,0.05,1.95,3
