"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda"
0.8,1,0.871197916666667,0.00139576526465249,0.8,30,0.2,1.8
0.2,0,0,0,0.8,40,0.05,1.8
0.2,1,0.0495138888888889,0.00180788266534285,0.8,40,0.05,1.8
0.8,0,0.870598958333333,0.00171284474874906,0.8,40,0.05,1.8
0.8,1,0.870607638888889,0.00139848587368192,0.8,40,0.05,1.8
0.2,0,0,0,0.8,40,0.1,1.8
0.2,1,0.103194444444444,0.00253519364654678,0.8,40,0.1,1.8
0.8,0,0.864348958333333,0.00174741542789878,0.8,40,0.1,1.8
0.8,1,0.880225694444444,0.00135291770397349,0.8,40,0.1,1.8
0.2,0,0,0,0.8,40,0.2,1.8
0.2,1,0.197986111111111,0.00332079557278245,0.8,40,0.2,1.8
0.8,0,0.868802083333333,0.00172291534486758,0.8,40,0.2,1.8
0.8,1,0.894809027777778,0.00127834165674277,0.8,40,0.2,1.8
0.2,0,0,0,0.8,50,0.05,1.8
0.2,1,0.0484027777777778,0.00178852724389205,0.8,50,0.05,1.8
0.8,0,0.8875,0.00161250282756025,0.8,50,0.05,1.8
0.8,1,0.894149305555556,0.00128187124589057,0.8,50,0.05,1.8
0.2,0,0,0,0.8,50,0.1,1.8
0.2,1,0.0995138888888889,0.00249467625121613,0.8,50,0.1,1.8
0.8,0,0.886145833333333,0.00162094062558192,0.8,50,0.1,1.8
0.8,1,0.898038194444444,0.00126083626260598,0.8,50,0.1,1.8
0.2,0,0,0,0.8,50,0.2,1.8
0.2,1,0.200277777777778,0.003335183996241,0.8,50,0.2,1.8
0.8,0,0.889114583333333,0.00160234535580503,0.8,50,0.2,1.8
0.8,1,0.91140625,0.00118399555491972,0.8,50,0.2,1.8
0.2,0,0.00510416666666667,0.000727341275256173,0.8,10,0.05,1.85
0.2,1,0.0555555555555556,0.00190891147984458,0.8,10,0.05,1.85
0.8,0,0.766744791666667,0.00215814755707625,0.8,10,0.05,1.85
0.8,1,0.780451388888889,0.00172476846924734,0.8,10,0.05,1.85
0.2,0,0.00510416666666667,0.000727341275256173,0.8,10,0.1,1.85
0.2,1,0.103263888888889,0.00253594833749519,0.8,10,0.1,1.85
0.8,0,0.766067708333333,0.00216032309491666,0.8,10,0.1,1.85
0.8,1,0.792986111111111,0.00168820452747036,0.8,10,0.1,1.85
0.2,0,0.00354166666666667,0.000606345861767524,0.8,10,0.2,1.85
0.2,1,0.202708333333333,0.00335025796227952,0.8,10,0.2,1.85
0.8,0,0.7671875,0.00215672091046727,0.8,10,0.2,1.85
0.8,1,0.815520833333333,0.00161615765020489,0.8,10,0.2,1.85
0.2,0,0.000104166666666667,0.000104166666666667,0.8,20,0.05,1.85
0.2,1,0.0488194444444444,0.00179581556917236,0.8,20,0.05,1.85
0.8,0,0.800208333333333,0.00204047022840819,0.8,20,0.05,1.85
0.8,1,0.809079861111111,0.00163762362376155,0.8,20,0.05,1.85
0.2,0,0,0,0.8,20,0.1,1.85
0.2,1,0.0979861111111111,0.00247755159440524,0.8,20,0.1,1.85
